ASIN,Title,Authors,PurchaseDate
"B00IZ76TGE","1日で読めてわかるTCP/IPのエッセンス (NextPublishing)","榊 正憲","2018/6/7"
"B0764C5MT5","AWS Lambda実践ガイド","大澤 文孝","2020/9/19"
"B08FYQ2QYL","AWS実務入門 - インフラ基本編","ますけん","2020/9/13"
"B07R1H87Y1","AWS認定資格試験テキスト　AWS認定 ソリューションアーキテクト-アソシエイト","佐々木 拓郎","2019/5/13"
"B07HJ12LJT","Amazon Web Services エンタープライズ基盤設計の基本","堀内 康弘","2019/7/4"
"B07BMQL59H","Amazon Web Services パターン別構築・運用ガイド 改訂第2版","NRIネットコム株式会社","2019/7/6"
"B06Y5ZSYY4","Amazon Web Services 基礎からのネットワーク＆サーバー構築 改訂版","玉川憲","2019/7/4"
"B07HJZDGP6","Amazon Web Services 定番業務システム14パターン 設計ガイド","川上 明久","2019/7/14"
"B0793JRHYC","Amazon Web Services 業務システム設計・移行ガイド　一番大切な知識と技術が身につく","佐々木 拓郎","2019/7/4"
"B07X381YBW","Amazon Web Servicesインフラサービス活用大全 システム構築/自動化、データストア、高信頼化 impress top gearシリーズ","Michael Wittig","2020/10/3"
"B07B2T24V4","Ansible実践ガイド第2版 impress top gearシリーズ","北山 晋吾","2018/8/28"
"B0821F34QJ","Ansible構築・運用ガイドブック　インフラ自動化のための現場のノウハウ (Compass Books)","八木澤 健人","2020/8/16"
"B07FSBHS2V","Clean Architecture　達人に学ぶソフトウェアの構造と設計 (アスキードワンゴ)","Ｒｏｂｅｒｔ Ｃ．Ｍａｒｔｉｎ","2019/3/3"
"B00JEYPPOE","Code Complete 第2版 上　完全なプログラミングを目指して","スティーブ マコネル","2014/11/1"
"B00JEYPUHQ","Code Complete 第2版 下　完全なプログラミングを目指して","スティーブ マコネル","2014/11/1"
"B00I9GR0E6","Crafting Rails 4 Applications: Expert Practices for Everyday Rails Development (The Facets of Ruby) (English Edition)","Valim, Jose","2019/4/26"
"B00JXEFJIM","Developer's Code　本物のプログラマがしていること (アスキー書籍)","Ｋａ　Ｗａｉ　Ｃｈｅｕｎｇ","2014/10/4"
"B07GP1Q3VT","Docker/Kubernetes 実践コンテナ開発入門","山田 明憲","2018/12/27"
"B07NDT526Q","Docker実践ガイド 第2版 impress top gearシリーズ","古賀 政純","2019/7/15"
"B00EESW7JQ","Effective JavaScript　JavaScriptを使うときに知っておきたい68の冴えたやり方","Devid Herman","2014/11/28"
"B00SF6JN4K","Effective Ruby","Peter J.Jones","2019/5/2"
"B07DN87LQV","Elasticsearch実践ガイド impress top gearシリーズ","惣道 哲也","2019/9/4"
"B07LGNGDHF","GoとSAMで学ぶAWS Lambda (技術の泉シリーズ（NextPublishing）)","杉田 寿憲","2020/9/21"
"B06XKPNVWV","Goプログラミング実践入門　標準ライブラリでゼロからWebアプリを作る impress top gearシリーズ","Sau Sheong Chang","2019/9/6"
"B07FZH4GWK","JavaScriptでのWeb開発 ~ Node.js + Express + MongoDB + ReactでWebアプリを開発しよう 〜 その１ 〜（改訂版三版）","ナカノヒトシ","2020/4/20"
"B00N0SRXCW","JavaScript逆引きレシピ jQuery対応","山田　祥寛","2014/11/28"
"B079Z1PG6C","Javaビルドツール入門 Maven/Gradle/SBT/Bazel対応","掌田津耶乃","2019/5/25"
"B07HFS7TDT","Kubernetes完全ガイド impress top gearシリーズ","青山 真也","2019/9/11"
"B085BG8CH5","Linuxで動かしながら学ぶTCP/IPネットワーク入門","もみじあめ","2020/4/30"
"B00GLFI5J6","Linuxサーバーセキュリティ徹底入門","中島能和","2014/11/28"
"B07FGFYPH4","Node.js + Express入門 - JavaScriptとコマンドラインがちょっとわかる人がNode.jsを使うサーバーサイド開発に入門するための本","中野 仁","2020/4/20"
"B078XDLL2J","React入門 React・Reduxの導入からサーバサイドレンダリングによるUXの向上まで","穴井宏幸","2019/9/15"
"B00TO6KMEK","Rubyによるクローラー開発技法　巡回・解析機能の実装と21の運用例","佐々木 拓郎","2016/8/8"
"B07SW2GXVF","Rustで始めるネットワークプログラミング","小野 輝也","2020/7/25"
"B073PRMWR5","The DevOps ハンドブック 理論・原則・実践のすべて","ジーン・キム","2019/9/1"
"B07PQF8TBW","UIデザイン　みんなで考え、カイゼンする。","栄前田 勝太郎","2019/7/14"
"B00EH93MNW","UMLモデリングレッスン","平澤 章","2019/7/14"
"B00RN8IPUE","Unity4.x入門+プログラミングTips集: 初心者から中級者対応。Assetの使い方を徹底解説","薬師寺国安","2015/2/1"
"B00QJINRHK","Unityゲーム開発　オンライン3Dアクションゲームの作り方","竹内 大五郎","2015/2/12"
"B00S75IZ3E","Unity初めの一歩: 超初心者のためのUnity入門","薬師寺国安","2015/2/1"
"B0899SR52S","Vimが好きになる本 (技術の泉シリーズ（NextPublishing）)","ゴリラ","2020/6/27"
