Title,Authors
ケヴィン・ケリー著作選集　２,ケヴィン・ケリー、 堺屋七左衛門(翻訳)
アプリケーションをつくる英語,西野竜太郎
知る、読む、使う！ オープンソースライセンス,可知豊
はじめる！ Cucumber,諸橋恭介
プロフェッショナルのための実践Heroku入門 プラットフォーム・クラウドを活用したアプリケーション開発と運用,相澤歩、 arton、 鳥井雪、 織田敬子
開発現場に伝えたい10のこと,DevLOVE関西
サムライ・エピソード,26人のサムライ達
実践Vim,Drew Neil、 新丈径(翻訳)
プログラマの考え方がおもしろいほど身につく本 問題解決能力を鍛えよう！,V. Anton Spraul、 角征典(翻訳)、 髙木正弘(翻訳)
ノンデザイナーズ・デザインブック　［フルカラー新装増補版］,Robin Williams、 吉川 典秀(翻訳)
よくわかるJavaScriptの教科書,たにぐち まこと
これからの「標準」を身につける　HTML+CSSデザインレシピ,エ・ビスコム・テック・ラボ
サーバサイドJavaScript Node.js入門,清水俊博、 大津繁樹、 Jxck、 小林秀和、 佐々木庸平、 篠崎祐輔、 高木敦也、 西山雄也
入門Chef Solo - Infrastructure as Code,伊藤直也
Web制作者のためのCSS設計の教科書 モダンWeb開発に欠かせない「修正しやすいCSS」の設計手法,谷 拓樹
Ruby on Rails環境構築ガイド,黒田 努
実践Ruby on Rails 4 現場のプロから学ぶ本格Webプログラミング,黒田 努
ゲームを作りながら楽しく学べるHTML5+CSS+JavaScriptプログラミング,田中 賢一郎
なるほどUnixプロセス ― Rubyで学ぶUnixの基礎,Jesse Storimer、 島田浩二(翻訳)、 角谷信太郎(翻訳)
UNIBOOK,日本Androidの会Unity部
[更新] UNIBOOK2,日本Androidの会Unity部
世界で闘うプログラミング力を鍛える150問～トップIT企業のプログラマになるための本～,Gayle Laakmann McDowell、 Ozy、 秋葉拓哉(訳)、 岩田陽一(監訳)、 北川宜稔(監訳)
オンラインジャッジではじめるC/C++プログラミング入門,渡部有隆
[更新] ネコミミでもわかるフロントエンド開発環境構築,汐瀬 なぎ
スッキリわかるJava入門 実践編 第2版,中山清喬
Dockerで作るWebサービス　〜ServletにもTwelve-Factor Appを〜,岩本次郎
プログラミング英語教本,西野 竜太郎
UNIXプログラミング環境,Brian W. Kernighan、 Rob Pike(著)、 石田晴久(監訳)、 野中浩一(訳)
すごいHaskell たのしく学ぼう！,Miran Lipovača(著)、 田中英行、 村主崇行(訳)
Elixirへのいざない,川邑 リュウ
スターティングgRPC,武上 将樹
Linuxで作る簡単バックアップサーバー～入門Bacula,澤田 健
これでできる！はじめてのOSSフィードバックガイド　「つよいエンジニア」になるための実績の育て方,結城 洋志
