Title,Authors
Go Starter Book,Women Who Go Tokyo
実践サーバレスで構築するWebAPI,メメメモモ
クリーンアーキテクチャとサーバレスで実装するWebAPI,メメメモモ
2020年のブロックチェーン,なんでもトークン
Dragon University 2020.09,Dragon University
徹底解説 v6プラス,日本ネットワークイネイブラー株式会社
サポートに伝える技術,もちぐみ
マンガ版 こうしす！ セキュリティに完璧を求めるのは間違っているだろうか Part 1 & 2,京姫鉄道出版
WANTEDLY TECH BOOK 8（電子版のみ）,Wantedly執筆部
クラウド破産を回避するInfrastructure as Code実践ガイド,KOS-MOS
Amazon Web Servicesコスト最適化入門 第2版,OHK
WANTEDLY TECH BOOK 6,Wantedly執筆部
WANTEDLY TECH BOOK 7,Wantedly執筆部
WANTEDLY TECH BOOK 5,Wantedly執筆部
マンガで分かるDevRel 4C,DevRel Meetup
Tech Do Book #3,株式会社メディアドゥ
iCARE Tech Book,株式会社iCARE開発部
WebDBであそぼ,きんとーん・らぼ
mixi tech note #04,株式会社ミクシィ
#マンガでわかるサーバー監視入門 （わかばちゃんと学ぶシリーズ）電子版のみ,湊川あいの、わかば家。
Re:ゼロから始めるSlack Hubot開発,遊びたがり
Tech Do Book #4,株式会社メディアドゥ
Clean Architecture for React,Archived Technologies
#個人Webサービスシステム構成事典,ザ・シメサバズ
